StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2021-12-31T23:00+00:00Z,2022-01-01T00:00+00:00Z,10YIT-GRTN-----B,MAW,B03,517
2022-01-01T00:00+00:00Z,2022-01-01T01:00+00:00Z,10YIT-GRTN-----B,MAW,B03,532
2022-01-01T01:00+00:00Z,2022-01-01T02:00+00:00Z,10YIT-GRTN-----B,MAW,B03,545
2022-01-01T02:00+00:00Z,2022-01-01T03:00+00:00Z,10YIT-GRTN-----B,MAW,B03,553
2022-01-01T03:00+00:00Z,2022-01-01T04:00+00:00Z,10YIT-GRTN-----B,MAW,B03,555
2022-01-01T04:00+00:00Z,2022-01-01T05:00+00:00Z,10YIT-GRTN-----B,MAW,B03,553
2022-01-01T05:00+00:00Z,2022-01-01T06:00+00:00Z,10YIT-GRTN-----B,MAW,B03,553
2022-01-01T06:00+00:00Z,2022-01-01T07:00+00:00Z,10YIT-GRTN-----B,MAW,B03,555
2022-01-01T07:00+00:00Z,2022-01-01T08:00+00:00Z,10YIT-GRTN-----B,MAW,B03,555
2022-01-01T08:00+00:00Z,2022-01-01T09:00+00:00Z,10YIT-GRTN-----B,MAW,B03,555
2022-01-01T09:00+00:00Z,2022-01-01T10:00+00:00Z,10YIT-GRTN-----B,MAW,B03,556
2022-01-01T10:00+00:00Z,2022-01-01T11:00+00:00Z,10YIT-GRTN-----B,MAW,B03,556
2022-01-01T11:00+00:00Z,2022-01-01T12:00+00:00Z,10YIT-GRTN-----B,MAW,B03,556
2022-01-01T12:00+00:00Z,2022-01-01T13:00+00:00Z,10YIT-GRTN-----B,MAW,B03,560
2022-01-01T13:00+00:00Z,2022-01-01T14:00+00:00Z,10YIT-GRTN-----B,MAW,B03,603
2022-01-01T14:00+00:00Z,2022-01-01T15:00+00:00Z,10YIT-GRTN-----B,MAW,B03,599
2022-01-01T15:00+00:00Z,2022-01-01T16:00+00:00Z,10YIT-GRTN-----B,MAW,B03,648
2022-01-01T16:00+00:00Z,2022-01-01T17:00+00:00Z,10YIT-GRTN-----B,MAW,B03,630
2022-01-01T17:00+00:00Z,2022-01-01T18:00+00:00Z,10YIT-GRTN-----B,MAW,B03,577
2022-01-01T18:00+00:00Z,2022-01-01T19:00+00:00Z,10YIT-GRTN-----B,MAW,B03,555
2022-01-01T19:00+00:00Z,2022-01-01T20:00+00:00Z,10YIT-GRTN-----B,MAW,B03,556
2022-01-01T20:00+00:00Z,2022-01-01T21:00+00:00Z,10YIT-GRTN-----B,MAW,B03,554
2022-01-01T21:00+00:00Z,2022-01-01T22:00+00:00Z,10YIT-GRTN-----B,MAW,B03,555
2022-01-01T22:00+00:00Z,2022-01-01T23:00+00:00Z,10YIT-GRTN-----B,MAW,B03,545
2022-01-01T23:00+00:00Z,2022-01-02T00:00+00:00Z,10YIT-GRTN-----B,MAW,B03,544
2022-01-02T00:00+00:00Z,2022-01-02T01:00+00:00Z,10YIT-GRTN-----B,MAW,B03,544
