StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-01-26T23:30+00:00Z,2022-01-27T00:00+00:00Z,10Y1001A1001A92E,MAW,B19,433
2022-01-27T00:00+00:00Z,2022-01-27T00:30+00:00Z,10Y1001A1001A92E,MAW,B19,472
2022-01-27T00:30+00:00Z,2022-01-27T01:00+00:00Z,10Y1001A1001A92E,MAW,B19,549
2022-01-27T01:00+00:00Z,2022-01-27T01:30+00:00Z,10Y1001A1001A92E,MAW,B19,520
2022-01-27T01:30+00:00Z,2022-01-27T02:00+00:00Z,10Y1001A1001A92E,MAW,B19,407
2022-01-27T02:00+00:00Z,2022-01-27T02:30+00:00Z,10Y1001A1001A92E,MAW,B19,412
2022-01-27T02:30+00:00Z,2022-01-27T03:00+00:00Z,10Y1001A1001A92E,MAW,B19,261
2022-01-27T03:00+00:00Z,2022-01-27T03:30+00:00Z,10Y1001A1001A92E,MAW,B19,165
2022-01-27T03:30+00:00Z,2022-01-27T04:00+00:00Z,10Y1001A1001A92E,MAW,B19,261
2022-01-27T04:00+00:00Z,2022-01-27T04:30+00:00Z,10Y1001A1001A92E,MAW,B19,273
2022-01-27T04:30+00:00Z,2022-01-27T05:00+00:00Z,10Y1001A1001A92E,MAW,B19,159
2022-01-27T05:00+00:00Z,2022-01-27T05:30+00:00Z,10Y1001A1001A92E,MAW,B19,258
2022-01-27T05:30+00:00Z,2022-01-27T06:00+00:00Z,10Y1001A1001A92E,MAW,B19,419
2022-01-27T06:00+00:00Z,2022-01-27T06:30+00:00Z,10Y1001A1001A92E,MAW,B19,470
2022-01-27T06:30+00:00Z,2022-01-27T07:00+00:00Z,10Y1001A1001A92E,MAW,B19,447
2022-01-27T07:00+00:00Z,2022-01-27T07:30+00:00Z,10Y1001A1001A92E,MAW,B19,394
2022-01-27T07:30+00:00Z,2022-01-27T08:00+00:00Z,10Y1001A1001A92E,MAW,B19,351
2022-01-27T08:00+00:00Z,2022-01-27T08:30+00:00Z,10Y1001A1001A92E,MAW,B19,361
2022-01-27T08:30+00:00Z,2022-01-27T09:00+00:00Z,10Y1001A1001A92E,MAW,B19,318
2022-01-27T09:00+00:00Z,2022-01-27T09:30+00:00Z,10Y1001A1001A92E,MAW,B19,330
2022-01-27T09:30+00:00Z,2022-01-27T10:00+00:00Z,10Y1001A1001A92E,MAW,B19,368
2022-01-27T10:00+00:00Z,2022-01-27T10:30+00:00Z,10Y1001A1001A92E,MAW,B19,419
2022-01-27T10:30+00:00Z,2022-01-27T11:00+00:00Z,10Y1001A1001A92E,MAW,B19,401
2022-01-27T11:00+00:00Z,2022-01-27T11:30+00:00Z,10Y1001A1001A92E,MAW,B19,425
2022-01-27T11:30+00:00Z,2022-01-27T12:00+00:00Z,10Y1001A1001A92E,MAW,B19,442
2022-01-27T12:00+00:00Z,2022-01-27T12:30+00:00Z,10Y1001A1001A92E,MAW,B19,410
2022-01-27T12:30+00:00Z,2022-01-27T13:00+00:00Z,10Y1001A1001A92E,MAW,B19,447
2022-01-27T13:00+00:00Z,2022-01-27T13:30+00:00Z,10Y1001A1001A92E,MAW,B19,384
2022-01-27T13:30+00:00Z,2022-01-27T14:00+00:00Z,10Y1001A1001A92E,MAW,B19,387
2022-01-27T14:00+00:00Z,2022-01-27T14:30+00:00Z,10Y1001A1001A92E,MAW,B19,289
2022-01-27T14:30+00:00Z,2022-01-27T15:00+00:00Z,10Y1001A1001A92E,MAW,B19,261
2022-01-27T15:00+00:00Z,2022-01-27T15:30+00:00Z,10Y1001A1001A92E,MAW,B19,160
2022-01-27T15:30+00:00Z,2022-01-27T16:00+00:00Z,10Y1001A1001A92E,MAW,B19,194
2022-01-27T16:00+00:00Z,2022-01-27T16:30+00:00Z,10Y1001A1001A92E,MAW,B19,158
2022-01-27T16:30+00:00Z,2022-01-27T17:00+00:00Z,10Y1001A1001A92E,MAW,B19,122
2022-01-27T17:00+00:00Z,2022-01-27T17:30+00:00Z,10Y1001A1001A92E,MAW,B19,109
2022-01-27T17:30+00:00Z,2022-01-27T18:00+00:00Z,10Y1001A1001A92E,MAW,B19,107
2022-01-27T18:00+00:00Z,2022-01-27T18:30+00:00Z,10Y1001A1001A92E,MAW,B19,104
2022-01-27T18:30+00:00Z,2022-01-27T19:00+00:00Z,10Y1001A1001A92E,MAW,B19,110
2022-01-27T19:00+00:00Z,2022-01-27T19:30+00:00Z,10Y1001A1001A92E,MAW,B19,115
2022-01-27T19:30+00:00Z,2022-01-27T20:00+00:00Z,10Y1001A1001A92E,MAW,B19,83
2022-01-27T20:00+00:00Z,2022-01-27T20:30+00:00Z,10Y1001A1001A92E,MAW,B19,59
2022-01-27T20:30+00:00Z,2022-01-27T21:00+00:00Z,10Y1001A1001A92E,MAW,B19,48
2022-01-27T21:00+00:00Z,2022-01-27T21:30+00:00Z,10Y1001A1001A92E,MAW,B19,42
2022-01-27T21:30+00:00Z,2022-01-27T22:00+00:00Z,10Y1001A1001A92E,MAW,B19,27
2022-01-27T22:00+00:00Z,2022-01-27T22:30+00:00Z,10Y1001A1001A92E,MAW,B19,34
2022-01-27T22:30+00:00Z,2022-01-27T23:00+00:00Z,10Y1001A1001A92E,MAW,B19,32
2022-01-27T23:00+00:00Z,2022-01-27T23:30+00:00Z,10Y1001A1001A92E,MAW,B19,36
2022-01-28T23:30+00:00Z,2022-01-29T00:00+00:00Z,10Y1001A1001A92E,MAW,B19,732
2022-01-29T00:00+00:00Z,2022-01-29T00:30+00:00Z,10Y1001A1001A92E,MAW,B19,711
2022-01-29T01:30+00:00Z,2022-01-29T02:00+00:00Z,10Y1001A1001A92E,MAW,B19,615
2022-01-29T02:00+00:00Z,2022-01-29T02:30+00:00Z,10Y1001A1001A92E,MAW,B19,639
2022-01-29T02:30+00:00Z,2022-01-29T03:00+00:00Z,10Y1001A1001A92E,MAW,B19,620
2022-01-29T03:00+00:00Z,2022-01-29T03:30+00:00Z,10Y1001A1001A92E,MAW,B19,597
2022-01-29T03:30+00:00Z,2022-01-29T04:00+00:00Z,10Y1001A1001A92E,MAW,B19,575
2022-01-29T04:00+00:00Z,2022-01-29T04:30+00:00Z,10Y1001A1001A92E,MAW,B19,434
2022-01-29T04:30+00:00Z,2022-01-29T05:00+00:00Z,10Y1001A1001A92E,MAW,B19,428
2022-01-29T05:00+00:00Z,2022-01-29T05:30+00:00Z,10Y1001A1001A92E,MAW,B19,612
2022-01-29T05:30+00:00Z,2022-01-29T06:00+00:00Z,10Y1001A1001A92E,MAW,B19,796
2022-01-29T06:00+00:00Z,2022-01-29T06:30+00:00Z,10Y1001A1001A92E,MAW,B19,737
2022-01-29T06:30+00:00Z,2022-01-29T07:00+00:00Z,10Y1001A1001A92E,MAW,B19,822
2022-01-29T07:00+00:00Z,2022-01-29T07:30+00:00Z,10Y1001A1001A92E,MAW,B19,856
2022-01-29T07:30+00:00Z,2022-01-29T08:00+00:00Z,10Y1001A1001A92E,MAW,B19,815
2022-01-29T08:00+00:00Z,2022-01-29T08:30+00:00Z,10Y1001A1001A92E,MAW,B19,892
2022-01-29T08:30+00:00Z,2022-01-29T09:00+00:00Z,10Y1001A1001A92E,MAW,B19,912
2022-01-29T09:00+00:00Z,2022-01-29T09:30+00:00Z,10Y1001A1001A92E,MAW,B19,906
2022-01-29T09:30+00:00Z,2022-01-29T10:00+00:00Z,10Y1001A1001A92E,MAW,B19,916
2022-01-29T10:00+00:00Z,2022-01-29T10:30+00:00Z,10Y1001A1001A92E,MAW,B19,939
2022-01-29T10:30+00:00Z,2022-01-29T11:00+00:00Z,10Y1001A1001A92E,MAW,B19,915
2022-01-29T11:00+00:00Z,2022-01-29T11:30+00:00Z,10Y1001A1001A92E,MAW,B19,884
2022-01-29T11:30+00:00Z,2022-01-29T12:00+00:00Z,10Y1001A1001A92E,MAW,B19,867
2022-01-29T12:00+00:00Z,2022-01-29T12:30+00:00Z,10Y1001A1001A92E,MAW,B19,864
2022-01-29T12:30+00:00Z,2022-01-29T13:00+00:00Z,10Y1001A1001A92E,MAW,B19,886
