StartTime,EndTime,AreaID,UnitName,Load
2021-12-31T23:45+00:00Z,2022-01-01T00:00+00:00Z,10YNL----------L,MAW,10326
2022-01-01T00:00+00:00Z,2022-01-01T00:15+00:00Z,10YNL----------L,MAW,10332
2022-01-01T00:15+00:00Z,2022-01-01T00:30+00:00Z,10YNL----------L,MAW,10223
2022-01-01T00:30+00:00Z,2022-01-01T00:45+00:00Z,10YNL----------L,MAW,10118
2022-01-01T00:45+00:00Z,2022-01-01T01:00+00:00Z,10YNL----------L,MAW,10033
2022-01-01T01:00+00:00Z,2022-01-01T01:15+00:00Z,10YNL----------L,MAW,9956
2022-01-01T01:15+00:00Z,2022-01-01T01:30+00:00Z,10YNL----------L,MAW,9861
2022-01-01T01:30+00:00Z,2022-01-01T01:45+00:00Z,10YNL----------L,MAW,9778
2022-01-01T01:45+00:00Z,2022-01-01T02:00+00:00Z,10YNL----------L,MAW,9870
2022-01-01T02:00+00:00Z,2022-01-01T02:15+00:00Z,10YNL----------L,MAW,9843
2022-01-01T02:15+00:00Z,2022-01-01T02:30+00:00Z,10YNL----------L,MAW,9758
2022-01-01T02:30+00:00Z,2022-01-01T02:45+00:00Z,10YNL----------L,MAW,9659
2022-01-01T02:45+00:00Z,2022-01-01T03:00+00:00Z,10YNL----------L,MAW,9663
2022-01-01T03:00+00:00Z,2022-01-01T03:15+00:00Z,10YNL----------L,MAW,9623
2022-01-01T03:15+00:00Z,2022-01-01T03:30+00:00Z,10YNL----------L,MAW,9567
2022-01-01T03:30+00:00Z,2022-01-01T03:45+00:00Z,10YNL----------L,MAW,9506
2022-01-01T03:45+00:00Z,2022-01-01T04:00+00:00Z,10YNL----------L,MAW,9515
2022-01-01T04:00+00:00Z,2022-01-01T04:15+00:00Z,10YNL----------L,MAW,9499
2022-01-01T04:15+00:00Z,2022-01-01T04:30+00:00Z,10YNL----------L,MAW,9524
2022-01-01T04:30+00:00Z,2022-01-01T04:45+00:00Z,10YNL----------L,MAW,9494
2022-01-01T04:45+00:00Z,2022-01-01T05:00+00:00Z,10YNL----------L,MAW,9629
2022-01-01T05:00+00:00Z,2022-01-01T05:15+00:00Z,10YNL----------L,MAW,9673
2022-01-01T05:15+00:00Z,2022-01-01T05:30+00:00Z,10YNL----------L,MAW,9702
2022-01-01T05:30+00:00Z,2022-01-01T05:45+00:00Z,10YNL----------L,MAW,9759
