StartTime,EndTime,AreaID,UnitName,Load
2021-12-31T23:00+00:00Z,2022-01-01T00:00+00:00Z,10YPL-AREA-----S,MAW,14438
2022-01-01T00:00+00:00Z,2022-01-01T01:00+00:00Z,10YPL-AREA-----S,MAW,13935
2022-01-01T01:00+00:00Z,2022-01-01T02:00+00:00Z,10YPL-AREA-----S,MAW,13579
2022-01-01T02:00+00:00Z,2022-01-01T03:00+00:00Z,10YPL-AREA-----S,MAW,13397
2022-01-01T03:00+00:00Z,2022-01-01T04:00+00:00Z,10YPL-AREA-----S,MAW,13364
2022-01-01T04:00+00:00Z,2022-01-01T05:00+00:00Z,10YPL-AREA-----S,MAW,13449
2022-01-01T05:00+00:00Z,2022-01-01T06:00+00:00Z,10YPL-AREA-----S,MAW,13444
2022-01-01T06:00+00:00Z,2022-01-01T07:00+00:00Z,10YPL-AREA-----S,MAW,13527
2022-01-01T07:00+00:00Z,2022-01-01T08:00+00:00Z,10YPL-AREA-----S,MAW,14202
2022-01-01T08:00+00:00Z,2022-01-01T09:00+00:00Z,10YPL-AREA-----S,MAW,14851
2022-01-01T09:00+00:00Z,2022-01-01T10:00+00:00Z,10YPL-AREA-----S,MAW,15643
2022-01-01T10:00+00:00Z,2022-01-01T11:00+00:00Z,10YPL-AREA-----S,MAW,16235
2022-01-01T11:00+00:00Z,2022-01-01T12:00+00:00Z,10YPL-AREA-----S,MAW,16712
2022-01-01T12:00+00:00Z,2022-01-01T13:00+00:00Z,10YPL-AREA-----S,MAW,16874
2022-01-01T13:00+00:00Z,2022-01-01T14:00+00:00Z,10YPL-AREA-----S,MAW,17032
2022-01-01T14:00+00:00Z,2022-01-01T15:00+00:00Z,10YPL-AREA-----S,MAW,17715
2022-01-01T15:00+00:00Z,2022-01-01T16:00+00:00Z,10YPL-AREA-----S,MAW,17887
2022-01-01T16:00+00:00Z,2022-01-01T17:00+00:00Z,10YPL-AREA-----S,MAW,17929
2022-01-01T17:00+00:00Z,2022-01-01T18:00+00:00Z,10YPL-AREA-----S,MAW,17898
2022-01-01T18:00+00:00Z,2022-01-01T19:00+00:00Z,10YPL-AREA-----S,MAW,17594
2022-01-01T19:00+00:00Z,2022-01-01T20:00+00:00Z,10YPL-AREA-----S,MAW,16972
2022-01-01T20:00+00:00Z,2022-01-01T21:00+00:00Z,10YPL-AREA-----S,MAW,16426
2022-01-01T21:00+00:00Z,2022-01-01T22:00+00:00Z,10YPL-AREA-----S,MAW,15411
2022-01-01T22:00+00:00Z,2022-01-01T23:00+00:00Z,10YPL-AREA-----S,MAW,14480
2022-01-01T23:00+00:00Z,2022-01-02T00:00+00:00Z,10YPL-AREA-----S,MAW,13833
2022-01-02T00:00+00:00Z,2022-01-02T01:00+00:00Z,10YPL-AREA-----S,MAW,13451
2022-01-02T01:00+00:00Z,2022-01-02T02:00+00:00Z,10YPL-AREA-----S,MAW,13267
2022-01-02T02:00+00:00Z,2022-01-02T03:00+00:00Z,10YPL-AREA-----S,MAW,13326
2022-01-02T03:00+00:00Z,2022-01-02T04:00+00:00Z,10YPL-AREA-----S,MAW,13714
2022-01-02T04:00+00:00Z,2022-01-02T05:00+00:00Z,10YPL-AREA-----S,MAW,14230
2022-01-02T05:00+00:00Z,2022-01-02T06:00+00:00Z,10YPL-AREA-----S,MAW,14542
2022-01-02T06:00+00:00Z,2022-01-02T07:00+00:00Z,10YPL-AREA-----S,MAW,14960
2022-01-02T07:00+00:00Z,2022-01-02T08:00+00:00Z,10YPL-AREA-----S,MAW,15855
2022-01-02T08:00+00:00Z,2022-01-02T09:00+00:00Z,10YPL-AREA-----S,MAW,16709
2022-01-02T09:00+00:00Z,2022-01-02T10:00+00:00Z,10YPL-AREA-----S,MAW,17032
2022-01-02T10:00+00:00Z,2022-01-02T11:00+00:00Z,10YPL-AREA-----S,MAW,17414
2022-01-02T11:00+00:00Z,2022-01-02T12:00+00:00Z,10YPL-AREA-----S,MAW,18006
2022-01-02T12:00+00:00Z,2022-01-02T13:00+00:00Z,10YPL-AREA-----S,MAW,17914
2022-01-02T13:00+00:00Z,2022-01-02T14:00+00:00Z,10YPL-AREA-----S,MAW,18024
2022-01-02T14:00+00:00Z,2022-01-02T15:00+00:00Z,10YPL-AREA-----S,MAW,18627
2022-01-02T15:00+00:00Z,2022-01-02T16:00+00:00Z,10YPL-AREA-----S,MAW,18737
