StartTime,EndTime,AreaID,UnitName,Load
2021-12-31T23:30+00:00Z,2022-01-01T00:00+00:00Z,10Y1001A1001A92E,MAW,677
2022-01-01T00:00+00:00Z,2022-01-01T00:30+00:00Z,10Y1001A1001A92E,MAW,644
2022-01-01T00:30+00:00Z,2022-01-01T01:00+00:00Z,10Y1001A1001A92E,MAW,600
2022-01-01T01:00+00:00Z,2022-01-01T01:30+00:00Z,10Y1001A1001A92E,MAW,573
2022-01-01T01:30+00:00Z,2022-01-01T02:00+00:00Z,10Y1001A1001A92E,MAW,558
2022-01-01T02:00+00:00Z,2022-01-01T02:30+00:00Z,10Y1001A1001A92E,MAW,562
2022-01-01T02:30+00:00Z,2022-01-01T03:00+00:00Z,10Y1001A1001A92E,MAW,529
2022-01-01T03:00+00:00Z,2022-01-01T03:30+00:00Z,10Y1001A1001A92E,MAW,502
2022-01-01T03:30+00:00Z,2022-01-01T04:00+00:00Z,10Y1001A1001A92E,MAW,467
2022-01-01T04:00+00:00Z,2022-01-01T04:30+00:00Z,10Y1001A1001A92E,MAW,451
2022-01-01T04:30+00:00Z,2022-01-01T05:00+00:00Z,10Y1001A1001A92E,MAW,445
2022-01-01T05:00+00:00Z,2022-01-01T05:30+00:00Z,10Y1001A1001A92E,MAW,441
2022-01-01T05:30+00:00Z,2022-01-01T06:00+00:00Z,10Y1001A1001A92E,MAW,430
2022-01-01T06:00+00:00Z,2022-01-01T06:30+00:00Z,10Y1001A1001A92E,MAW,430
2022-01-01T06:30+00:00Z,2022-01-01T07:00+00:00Z,10Y1001A1001A92E,MAW,430
2022-01-01T07:00+00:00Z,2022-01-01T07:30+00:00Z,10Y1001A1001A92E,MAW,451
2022-01-01T07:30+00:00Z,2022-01-01T08:00+00:00Z,10Y1001A1001A92E,MAW,471
2022-01-01T08:00+00:00Z,2022-01-01T08:30+00:00Z,10Y1001A1001A92E,MAW,500
2022-01-01T08:30+00:00Z,2022-01-01T09:00+00:00Z,10Y1001A1001A92E,MAW,517
2022-01-01T09:00+00:00Z,2022-01-01T09:30+00:00Z,10Y1001A1001A92E,MAW,536
2022-01-01T09:30+00:00Z,2022-01-01T10:00+00:00Z,10Y1001A1001A92E,MAW,559
2022-01-01T10:00+00:00Z,2022-01-01T10:30+00:00Z,10Y1001A1001A92E,MAW,602
2022-01-01T10:30+00:00Z,2022-01-01T11:00+00:00Z,10Y1001A1001A92E,MAW,630
2022-01-01T11:00+00:00Z,2022-01-01T11:30+00:00Z,10Y1001A1001A92E,MAW,658
2022-01-01T11:30+00:00Z,2022-01-01T12:00+00:00Z,10Y1001A1001A92E,MAW,693
2022-01-01T12:00+00:00Z,2022-01-01T12:30+00:00Z,10Y1001A1001A92E,MAW,728
2022-01-01T12:30+00:00Z,2022-01-01T13:00+00:00Z,10Y1001A1001A92E,MAW,780
2022-01-01T13:00+00:00Z,2022-01-01T13:30+00:00Z,10Y1001A1001A92E,MAW,813
2022-01-01T13:30+00:00Z,2022-01-01T14:00+00:00Z,10Y1001A1001A92E,MAW,840
2022-01-01T14:00+00:00Z,2022-01-01T14:30+00:00Z,10Y1001A1001A92E,MAW,850
2022-01-01T14:30+00:00Z,2022-01-01T15:00+00:00Z,10Y1001A1001A92E,MAW,832
2022-01-01T15:00+00:00Z,2022-01-01T15:30+00:00Z,10Y1001A1001A92E,MAW,828
2022-01-01T15:30+00:00Z,2022-01-01T16:00+00:00Z,10Y1001A1001A92E,MAW,843
2022-01-01T16:00+00:00Z,2022-01-01T16:30+00:00Z,10Y1001A1001A92E,MAW,854
2022-01-01T16:30+00:00Z,2022-01-01T17:00+00:00Z,10Y1001A1001A92E,MAW,887
2022-01-01T17:00+00:00Z,2022-01-01T17:30+00:00Z,10Y1001A1001A92E,MAW,958
2022-01-01T17:30+00:00Z,2022-01-01T18:00+00:00Z,10Y1001A1001A92E,MAW,1019
2022-01-01T18:00+00:00Z,2022-01-01T18:30+00:00Z,10Y1001A1001A92E,MAW,1049
2022-01-01T18:30+00:00Z,2022-01-01T19:00+00:00Z,10Y1001A1001A92E,MAW,1034
2022-01-01T19:00+00:00Z,2022-01-01T19:30+00:00Z,10Y1001A1001A92E,MAW,981
2022-01-01T19:30+00:00Z,2022-01-01T20:00+00:00Z,10Y1001A1001A92E,MAW,944
2022-01-01T20:00+00:00Z,2022-01-01T20:30+00:00Z,10Y1001A1001A92E,MAW,914
2022-01-01T20:30+00:00Z,2022-01-01T21:00+00:00Z,10Y1001A1001A92E,MAW,887
2022-01-01T21:00+00:00Z,2022-01-01T21:30+00:00Z,10Y1001A1001A92E,MAW,861
2022-01-01T21:30+00:00Z,2022-01-01T22:00+00:00Z,10Y1001A1001A92E,MAW,830
2022-01-01T22:00+00:00Z,2022-01-01T22:30+00:00Z,10Y1001A1001A92E,MAW,787
2022-01-01T22:30+00:00Z,2022-01-01T23:00+00:00Z,10Y1001A1001A92E,MAW,747
2022-01-01T23:00+00:00Z,2022-01-01T23:30+00:00Z,10Y1001A1001A92E,MAW,711
2022-01-01T23:30+00:00Z,2022-01-02T00:00+00:00Z,10Y1001A1001A92E,MAW,674
2022-01-02T00:00+00:00Z,2022-01-02T00:30+00:00Z,10Y1001A1001A92E,MAW,626
2022-01-02T02:30+00:00Z,2022-01-02T03:00+00:00Z,10Y1001A1001A92E,MAW,525
2022-01-02T03:00+00:00Z,2022-01-02T03:30+00:00Z,10Y1001A1001A92E,MAW,508
2022-01-02T03:30+00:00Z,2022-01-02T04:00+00:00Z,10Y1001A1001A92E,MAW,500
2022-01-02T04:00+00:00Z,2022-01-02T04:30+00:00Z,10Y1001A1001A92E,MAW,492
2022-01-02T04:30+00:00Z,2022-01-02T05:00+00:00Z,10Y1001A1001A92E,MAW,479
2022-01-02T05:00+00:00Z,2022-01-02T05:30+00:00Z,10Y1001A1001A92E,MAW,473
2022-01-02T05:30+00:00Z,2022-01-02T06:00+00:00Z,10Y1001A1001A92E,MAW,469
2022-01-02T06:00+00:00Z,2022-01-02T06:30+00:00Z,10Y1001A1001A92E,MAW,465
2022-01-02T06:30+00:00Z,2022-01-02T07:00+00:00Z,10Y1001A1001A92E,MAW,483
2022-01-02T07:00+00:00Z,2022-01-02T07:30+00:00Z,10Y1001A1001A92E,MAW,493
2022-01-02T07:30+00:00Z,2022-01-02T08:00+00:00Z,10Y1001A1001A92E,MAW,517
2022-01-02T08:00+00:00Z,2022-01-02T08:30+00:00Z,10Y1001A1001A92E,MAW,543
2022-01-02T08:30+00:00Z,2022-01-02T09:00+00:00Z,10Y1001A1001A92E,MAW,576
2022-01-02T09:00+00:00Z,2022-01-02T09:30+00:00Z,10Y1001A1001A92E,MAW,602
2022-01-02T09:30+00:00Z,2022-01-02T10:00+00:00Z,10Y1001A1001A92E,MAW,639
2022-01-02T10:00+00:00Z,2022-01-02T10:30+00:00Z,10Y1001A1001A92E,MAW,687
2022-01-02T10:30+00:00Z,2022-01-02T11:00+00:00Z,10Y1001A1001A92E,MAW,733
2022-01-02T11:00+00:00Z,2022-01-02T11:30+00:00Z,10Y1001A1001A92E,MAW,765
2022-01-02T11:30+00:00Z,2022-01-02T12:00+00:00Z,10Y1001A1001A92E,MAW,797
2022-01-02T12:00+00:00Z,2022-01-02T12:30+00:00Z,10Y1001A1001A92E,MAW,823
2022-01-02T12:30+00:00Z,2022-01-02T13:00+00:00Z,10Y1001A1001A92E,MAW,855
2022-01-02T13:00+00:00Z,2022-01-02T13:30+00:00Z,10Y1001A1001A92E,MAW,880
2022-01-02T13:30+00:00Z,2022-01-02T14:00+00:00Z,10Y1001A1001A92E,MAW,890
2022-01-02T14:00+00:00Z,2022-01-02T14:30+00:00Z,10Y1001A1001A92E,MAW,886
2022-01-02T14:30+00:00Z,2022-01-02T15:00+00:00Z,10Y1001A1001A92E,MAW,861
2022-01-02T15:00+00:00Z,2022-01-02T15:30+00:00Z,10Y1001A1001A92E,MAW,858
